product_number,ingredients_smiles,review
10311245,"['C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C']",4.6
10317639,"['O', 'CC(CO)O', 'CCCCCCCCCCCCCCCCCCO.CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C', 'CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(C)C', 'C=CC(=O)O', 'CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O', 'C(CO)N(CCO)CCO', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'COC(=O)C1=CC=C(C=C1)O']",4.4
10322150,"['O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'C(C(CO)O)O', 'C=CC(=O)N', 'C=C', 'C1(C(=O)NC(=O)N1)NC(=O)N', 'CC1(C(=O)N(C(=O)N1CO)CO)C', 'C=CC(=O)O', 'CC(C)(CO)N', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'CCCCNC(=O)OCC#CI', 'CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO', 'CC1=CC(=C(C=C1S(=O)(=O)[O-])OC)N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O.[Na+].[Na+]', 'C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]']",4.7
10322179,"['O', 'C(C(CO)O)O', 'CCCCCCCCCCCCCC(C)C', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CC(C)CCCCCCCCCCCCCCC(=O)OC(C)C', 'O=[Ti]=O', 'O=[Zn]', 'C=CC(=O)N', 'CCCCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO', 'CCCCCCCCCCCCCCCCCCO.CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCCC(=O)O', '[OH-].[Na+]', 'C=CC(=O)[O-].[NH4+]', 'CCCCCCCC[Si](OCC)(OCC)OCC', 'C1=CC=C(C=C1)OCCO', 'C1=CC=C(C=C1)CO', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'COC(=O)C1=CC=C(C=C1)O', 'CCOC(=O)C1=CC=C(C=C1)O', 'CCCOC(=O)C1=CC=C(C=C1)O']",4.7
10324710,"['O', 'C(C(CO)O)O', 'CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O', 'CCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC', 'CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CC(CC(=O)O)(C(=O)O)O)O', 'CCCCCCCCCCCCCCCCO', 'C(C(C1C(=C(C(=O)O1)O)O)O)O', 'CCCCCCCCCCCCCCCCCC(=O)OCC(COCC(COCC(COC(=O)CCCCCCCCCCCCCCCCC)O)O)O', 'CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C', 'CCO', 'CCCCCCCC(=O)OCC(CO)O', 'CC(=CCCC(=CC=O)C)C', 'CC1=CCC(CC1)C(=C)C']",4.4
10543645,"['CCCCCCCCCCC(CCCCCCCC)CO', 'CCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC', 'CCCCCCCCCCCCCCCCCC(=O)O', 'CCCCCCCCCCCCCCCC(=O)O', 'CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O', 'CCCCCCCCCCCCCCCC(=O)OC(CC)CCCCC', 'CCOC(=O)C=C.CC(=C)C(=O)O.CC(=C)C(=O)OC', 'CCCCCCCCCCCCCCCCCCO', 'CC(=CCCC(C)(C=C)O)C', 'CC1=CCC(CC1)C(=C)C', 'C1=CC=C(C=C1)CO', 'CC(=CCCC(=CCO)C)C']",4.4
10543656,"['O', 'C(C(CO)O)O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O', 'CCCCCCCCCCCCCCCCCC(=O)OCCO']",4.4
10849905,"['C(C(CO)O)O', 'O=[Zn]', 'O', 'C(=O)([O-])[O-].[Ca+2]', 'CCO', 'C1=CC=C(C(=C1)C(=O)O)O']",5
12018650,"['O', 'CC(CO)O', 'CCCCCCCCCCCCCC(=O)OC(C)C', 'CCCCCCCCC=CCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O', 'CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC(=O)C)C)C', 'C1=CC(=CN=C1)C(=O)N', 'CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C', 'CCCCCCCCCCCCCCCCO', 'C1=CC=C2C(=C1)C=CC(=O)O2', 'CC(CCC=C(C)C)CCO', 'C1=CC=C(C=C1)CO', 'C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2', 'CC(=CCCC(C)(C=C)O)C', 'CC(=CCCC(=CCO)C)C', 'CC(CCCC(C)(C)O)CC=O', 'COC1=C(C=CC(=C1)CC=C)O', 'CC1=CCC(CC1)C(=C)C', 'C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+].[Na+]', 'COC(=O)C1=CC=C(C=C1)O', 'CCCOC(=O)C1=CC=C(C=C1)O']",4.8
12444104,"['O', 'C(C(CO)O)O', 'CCCCCCCCCCCCCC(C)C', 'CCCCCCCCCCCCCCCCCC(=O)O', 'CCCCCCCCCCCCCCCC(=O)O', 'O1[SiH2]O[SiH2]O[SiH2]O[SiH2]O[SiH2]1', 'C=CC(=O)N', 'CCCCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O', 'C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Mn+2]', 'CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', '[OH-].[Na+]', 'CC(=O)NC1C(C(C(OC1O)OS(=O)(=O)O)O)OC2C(C(C(C(O2)C(=O)O)O)O)O', 'C1=CC=C(C=C1)OCCO', 'COC(=O)C1=CC=C(C=C1)O', 'C(NC(=O)NC1C(=O)NC(=O)N1CO)NC(=O)NC2C(=O)NC(=O)N2CO', 'CC=CC=CC(=O)[O-].[K+]', 'CC(CC1=CC=C(C=C1)C(C)(C)C)C=O', 'C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O', 'CC(=CCCC(C)(C=C)O)C', 'CC(CCC=C(C)C)CCO']",4.5
129739340,"['O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CCCCCCCCCCCCCCCCCCO.CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O', 'C(C(CO)O)O', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C', 'CN1C=NC2=C1C(=O)N(C(=O)N2C)C', 'C=CC(=O)N', 'C1=CC=C(C=C1)OCCO', 'C1=CC(=CC=C1OCC(CO)O)Cl']",4.5
130541146,"['C(C(CO)O)O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CC1=CCC(CC1)C(C)(CCC=C(C)C)O', '[OH-].[Na+]', 'C(C1C(C(C(C(O1)OC2=C(C(OC2=O)C(CO)O)O)O)O)O)O', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'CCCCCCCCCCCCCC(=O)OC(C)C', 'C(C(=O)O)C(CC(=O)O)(C(=O)O)O', 'CC(C)(C)O', 'CCCCCCCCCCCCCCCC(=O)OC(CC)CCCCC', 'CC(CC(C)(C)O)O', 'CC=CC=CC(=O)[O-].[K+]', 'CC=CC=CC(=O)O', 'C1=CC=C(C=C1)C(=O)[O-].[Na+]', 'C1=CC=C(C=C1)OCCO', 'CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[NH4+].[NH4+]', 'CC(=CCCC(C)(C=C)O)C', 'CC(=CCCC(=CCCC(=CCO)C)C)C', 'CC1=CCC(CC1)C(=C)C', 'CC(=CCCC(=CC=O)C)C']",4.6
139054164,"['O', 'CCCCCCCCCCCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O', 'CCCCCCCC[Si](OCC)(OCC)OCC', 'CC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)OC)O)O)OC4C(C(C(C(O4)CO)OC)O)O)O)O)O)O', 'C(C(C1C(=C(C(=O)O1)OP(=O)([O-])[O-])[O-])O)O.[Na+].[Na+].[Na+]', 'C1=CC(=CN=C1)C(=O)N', 'CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O', 'CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)[O-])O)O)OC5C(C(C(C(O5)C(=O)[O-])O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.[K+].[K+]']",4.5
